Age,Education,Dependents,Residence_Type,City_Tier,Years_at_Current_Job,Total_Work_Experience,Monthly_Income,Other_Income,Existing_Loans,Existing_Loan_Amount,Monthly_EMI,Debt_to_Income,Savings,Investments,Bank_Balance,Credit_Card_Utilization,Number_of_Bank_Accounts,Number_of_Credit_Cards,Credit_Score,Loan_Defaults,Missed_Payments,Loan_Amount,Loan_Tenure,Interest_Rate,Collateral,Collateral_Value,Loan_to_Value,Total_Debt_Exposure,Marital_Status_Married,Marital_Status_Single,Marital_Status_Widowed,Employment_Type_Private,Employment_Type_Self-Employed,Employment_Type_Skilled Labor,Employment_Type_Unemployed,Tax_Return_Filed_Unknown,Tax_Return_Filed_Yes,Loan_Purpose_Education,Loan_Purpose_Home,Loan_Purpose_Medical,Loan_Purpose_Personal,Loan_Purpose_Vehicle
23,2,1,1,1,0,2,45675,0.0,2,901599,19490,42.67,353456.0,0.0,297267.0,36.45,2,1,582.0,0,1,1340691,10,16.97,1,1727168.0,77.62,2242290,0,1,0,0,1,0,0,0,0,0,0,0,0,0
53,3,1,1,1,5,27,145101,0.0,3,12130003,106585,73.46,119838.0,0.0,190400.0,33.49,3,2,570.0,0,2,729359,7,14.71,1,908200.0,80.31,12859362,1,0,0,1,0,0,0,0,1,0,0,0,0,1
25,1,2,1,2,2,4,67266,0.0,0,0,0,0.0,1213172.0,0.0,1313005.0,7.78,2,2,685.0,0,0,422452,5,11.55,0,3135356.0,65.88499999999999,422452,1,0,0,1,0,0,0,0,1,0,0,0,1,0
51,3,3,1,1,6,21,118742,0.0,0,0,0,0.0,1284387.0,253717.0,495844.0,16.19,3,2,700.0,0,0,8496089,20,10.13,1,15961743.0,53.23,8496089,0,0,0,1,0,0,0,0,1,0,1,0,0,0
34,1,0,1,1,0,2,68176,0.0,0,0,0,0.0,1699876.0,0.0,1761564.0,13.47,4,2,666.0,0,0,2970618,25,10.65,1,5894757.0,50.39,2970618,0,1,0,1,0,0,0,0,0,0,1,0,0,0
37,3,0,0,3,7,7,77950,0.0,0,0,0,0.0,1986741.0,1306500.0,2252702.0,25.44,3,3,646.0,0,0,957003,7,13.87,0,3135356.0,65.88499999999999,957003,0,1,0,0,0,0,0,0,1,1,0,0,0,0
31,2,0,1,1,3,4,109687,0.0,2,4500897,36998,33.73,368506.0,0.0,337988.0,44.44,2,1,610.0,0,1,1253245,5,12.87,0,3135356.0,65.88499999999999,5754142,1,0,0,0,0,0,0,0,1,0,0,0,0,1
29,4,0,1,1,2,2,69936,0.0,1,4209243,44486,63.61,451729.0,388641.0,291406.0,0.0,4,3,522.0,0,2,808527,5,15.48,1,1503730.0,53.77,5017770,0,1,0,1,0,0,0,0,0,0,0,0,0,1
53,1,2,0,3,16,17,69029,319797.0,0,0,0,0.0,719479.0,0.0,820479.0,4.39,2,2,648.0,0,0,3268498,10,11.97,1,4267770.0,76.59,3268498,1,0,0,0,0,1,0,0,1,0,0,0,0,0
27,3,0,0,3,4,5,95870,202492.0,1,660975,6377,6.65,356540.0,104753.0,444546.0,3.15,3,1,652.0,0,0,5740890,30,11.82,1,8968179.0,64.01,6401865,0,0,1,0,1,0,0,0,1,0,1,0,0,0
30,1,2,0,4,3,5,31995,15711.0,0,0,0,0.0,714060.0,0.0,593557.0,6.18,2,0,616.0,0,0,575415,2,13.12,0,3135356.0,65.88499999999999,575415,1,0,0,0,0,1,0,0,0,0,0,0,1,0
34,1,0,1,2,3,5,37795,0.0,0,0,0,0.0,696519.0,118125.0,319828.0,35.66,2,2,640.0,0,0,460225,5,12.7,1,657971.0,69.95,460225,0,1,0,0,0,1,0,0,0,0,0,0,0,1
