Age,Marital_Status,Education,Dependents,Residence_Type,City_Tier,Employment_Type,Years_at_Current_Job,Total_Work_Experience,Monthly_Income,Other_Income,Existing_Loans,Existing_Loan_Amount,Monthly_EMI,Debt_to_Income,Savings,Investments,Bank_Balance,Credit_Card_Utilization,Number_of_Bank_Accounts,Number_of_Credit_Cards,Credit_Score,Loan_Defaults,Missed_Payments,Tax_Return_Filed,Loan_Purpose,Loan_Amount,Loan_Tenure,Interest_Rate,Collateral,Collateral_Value,Loan_to_Value,Total_Debt_Exposure
31,Married,Graduate,3,Urban,1,Self-Employed,1,10,134682,25991.0,0,0,0,0.0,517738.0,859148.0,233748.0,29.09,3,5,682.0,0,0,Yes,Vehicle,1396569,5,11.76,Yes,1682761.0,82.99,1396569
29,Single,Post Graduate,0,Rural,4,Private,0,0,23332,64227.0,0,0,0,0.0,569045.0,0.0,214164.0,57.41,2,1,621.0,0,0,No,Business,875653,10,12.32,Yes,1269277.0,68.99,875653
32,Married,High School,1,Urban,2,Private,10,10,62384,0.0,0,0,0,0.0,1378487.0,288499.0,1590502.0,25.0,2,1,629.0,0,0,Yes,Business,1757797,5,12.31,Yes,2877057.0,61.1,1757797
63,Married,Graduate,0,Urban,1,Private,24,32,154310,0.0,0,0,0,0.0,422843.0,284670.0,360517.0,0.0,2,4,693.0,0,0,Yes,Personal,1242243,3,11.56,No,,93.41710424161428,1242243
39,Single,High School,0,Urban,3,Skilled Labor,7,9,40669,0.0,0,0,0,0.0,678325.0,0.0,508445.0,45.21,1,1,658.0,0,0,Yes,Home,3133013,25,10.95,Yes,6375059.0,49.14,3133013
28,Married,Post Graduate,0,Rural,4,Government,3,6,42927,0.0,0,0,0,73.77396140495426,263684.0,401412.0,174907.0,49.53,1,1,566.0,0,0,Yes,Business,1632525,10,13.52,No,,,1632525
35,Married,Graduate,1,Urban,1,Private,0,1,67241,18209.0,1,3925394,54399,80.9,121638.0,29687.0,62350.0,75.76,3,2,493.0,0,3,Yes,Vehicle,803223,5,14.0,Yes,1055615.0,76.09,4728617
31,Married,Graduate,3,Urban,1,Self-Employed,0,3,152218,0.0,1,7593250,75123,49.35,1670007.0,404190.0,2115724.0,15.18,2,4,640.0,0,0,Yes,Personal,2687507,2,12.96,No,,,10280757
29,Widowed,Diploma,0,Urban,2,Private,0,0,67748,20174.0,2,2504783,23165,34.19,1046702.0,144761.0,701665.0,32.94,1,3,599.0,0,1,Yes,Vehicle,492057,5,14.32,No,,,2996840
52,Married,Graduate,2,Rural,3,Private,28,30,133987,34928.0,3,5123190,107191,80.0,509484.0,103944.0,329085.0,88.18,5,3,531.0,0,2,Yes,Home,7000520,30,15.62,Yes,7783981.0,89.93,12123710
62,Married,Post Graduate,3,Urban,3,Government,8,10,56340,0.0,1,3419052,39135,69.46,572530.0,105659.0,282077.0,58.73,2,2,391.0,1,4,Yes,Home,2990341,20,14.56,Yes,4174227.0,71.64,6409393
63,Married,No Formal,0,Urban,1,Skilled Labor,20,38,91618,15637.0,0,0,0,0.0,461971.0,176526.0,469874.0,29.61,5,1,706.0,0,0,Yes,Personal,1313928,3,9.14,Yes,2172611.0,60.48,1313928
40,Divorced,High School,0,Urban,3,Private,0,4,46722,333432.0,0,0,0,0.0,245046.0,367189.0,248646.0,26.13,2,1,680.0,0,0,Yes,Home,2947358,25,11.76,Yes,3674873.0,80.2,2947358
29,Single,High School,0,Urban,1,Skilled Labor,1,2,36320,0.0,1,2262677,23194,63.86,50115.0,12559.0,56894.0,61.68,3,1,404.0,1,3,Yes,Home,1975791,20,13.72,Yes,2604796.0,75.85,4238468
21,Single,High School,0,Urban,1,Self-Employed,0,0,80000,514548.0,1,1308989,16920,21.15,1331146.0,0.0,442112.0,34.37,4,2,632.0,0,0,Yes,Education,754756,7,13.97,Yes,1064608.0,70.9,2063745
40,Single,Graduate,0,Rural,4,Private,4,9,61499,0.0,1,1588098,16037,26.08,109514.0,0.0,166410.0,26.3,2,2,627.0,0,0,No,Personal,314523,3,13.75,No,,,1902621
53,Single,Diploma,0,Urban,1,Government,22,25,150744,0.0,2,10661159,111505,73.97,851391.0,1569660.0,792278.0,70.54,2,3,605.0,0,1,Yes,Business,5530487,10,13.17,Yes,10679598.0,51.79,16191646
22,Single,No Formal,0,Urban,3,Skilled Labor,0,0,20064,0.0,0,0,0,0.0,69088.0,0.0,53600.0,61.77,1,1,645.0,0,0,Yes,Personal,114876,3,12.38,Yes,169895.0,67.62,114876
26,Married,High School,1,Urban,1,Private,0,2,43101,0.0,0,0,0,0.0,336602.0,123830.0,199364.0,17.7,1,0,693.0,0,0,Yes,Education,390253,5,10.32,No,,,390253
29,Married,High School,2,Urban,2,Private,2,8,88745,391890.0,0,0,0,0.0,895449.0,40223.0,216180.0,33.98,2,2,663.0,0,0,Yes,Home,4308511,25,10.7,Yes,5950464.0,72.41,4308511
32,Married,Graduate,1,Urban,2,Private,3,11,87921,0.0,1,3261969,30974,35.23,629706.0,0.0,692696.0,42.74,3,1,635.0,0,0,Yes,Personal,1521824,3,13.1,No,,,4783793
43,Married,Graduate,1,Urban,2,Government,2,6,71798,9977.0,0,0,0,0.0,1415480.0,465345.0,937690.0,14.1,2,3,664.0,0,0,Yes,Personal,1111693,3,11.09,No,,,1111693
32,Single,Graduate,0,Urban,1,Self-Employed,0,2,82332,85730.0,1,1782039,40151,91.15855192365154,282284.0,171759.0,180838.0,48.17,2,2,429.0,1,2,Yes,Vehicle,627799,5,15.69,Yes,1012289.0,62.02,2409838
49,Married,Graduate,2,Urban,1,Private,4,25,93615,0.0,2,2040392,22632,24.18,1146432.0,358062.0,933709.0,35.42,5,2,690.0,0,0,Yes,Home,3651947,20,10.42,Yes,4107984.0,88.9,5692339
36,Married,High School,1,Urban,1,Skilled Labor,8,14,45140,15919.0,2,303476,4422,9.8,164836.0,0.0,198163.0,48.67,1,1,616.0,0,1,Yes,Personal,480646,5,12.04,No,,,784122
35,Married,Graduate,0,Urban,2,Private,5,7,87279,34204.0,4,3815330,43836,50.23,1170592.0,0.0,472798.0,69.05,3,1,423.0,1,3,Yes,Home,3203182,20,15.14,Yes,4688736.0,68.32,7018512
51,Married,Diploma,1,Urban,2,Private,4,9,87440,0.0,0,0,0,0.0,1805085.0,1215420.0,941311.0,15.26,4,1,703.0,0,0,Yes,Personal,320013,2,10.07,Yes,588804.0,54.35,320013
